date,n1,n2,n3,n4,n5,s1,s2
2022-09-06,7,10,22,29,44,4,5
2022-09-09,17,23,24,26,27,4,9
2022-09-13,9,12,15,40,47,1,11
2022-09-16,10,27,36,45,49,3,4
2022-09-20,11,21,23,32,48,3,12
2022-09-23,14,15,22,35,48,3,8
2022-09-27,4,20,21,34,44,1,3
2022-09-30,1,2,11,16,26,3,12
2022-10-04,3,18,28,42,43,3,12
2022-10-07,26,27,42,45,50,1,12
2022-10-11,8,23,32,35,40,1,8
2022-10-14,24,28,29,34,48,3,7
2022-10-18,3,5,13,42,48,1,6
2022-10-21,25,26,28,38,40,1,6
2022-10-25,7,24,34,39,46,1,6
2022-10-28,14,16,21,28,35,1,11
2022-11-01,19,37,42,47,48,1,6
2022-11-04,2,11,37,45,47,2,3
2022-11-08,3,5,32,33,50,1,8
2022-11-11,2,19,24,25,44,2,10
2022-11-15,13,21,24,31,33,1,12
2022-11-18,13,16,19,35,41,1,11
2022-11-22,21,22,24,29,42,3,11
2022-11-25,19,21,35,37,39,2,6
2022-11-29,15,20,24,35,38,8,12
2022-12-02,12,21,35,39,45,6,11
2022-12-06,12,20,25,26,27,8,12
2022-12-09,8,27,31,46,50,1,3
2022-12-13,3,9,12,26,30,10,11
2022-12-16,2,15,19,35,44,2,7
2022-12-20,1,11,17,20,27,4,5
2022-12-23,16,17,23,26,35,5,11
2022-12-27,19,31,33,34,43,3,5
2022-12-30,17,34,42,47,48,1,9
2023-01-03,20,21,29,45,46,3,10
2023-01-06,16,31,35,44,45,4,12
2023-01-10,11,13,34,40,42,3,10
2023-01-13,4,13,25,33,37,5,10
2023-01-17,18,21,30,46,50,2,6
2023-01-20,3,6,13,40,42,7,11
2023-01-24,11,27,41,43,47,7,11
2023-01-27,8,9,15,19,31,10,12
2023-01-31,7,12,19,33,43,3,7
2023-02-03,2,14,17,32,45,3,10
2023-02-07,2,8,34,44,47,3,9
2023-02-10,3,13,25,36,47,3,8
